old_path,type,title,new_path,status,note
/1/,post,שודרג אתר חינוך ולדורף בישראל,/forum-newsletter.html,mapped-section,2015-08-12 · אגרת - חינוך ולדורף בישראל
/12-החושים-וטיפוחם-בחינוך-ולדורף/,post,12 החושים וטיפוחם בחינוך ולדורף,/news.html,mapped-section,2025-11-18 · מודעות ופרסומים
/2020-martyn-rawson/,post,למידה מרחוק מתוך השקפת חינוך וולדורף  | מרטין רואוסון,/content-library.html,mapped-section,2020-04-06 · מאמרים
/22-שאלות-ותשובות-על-חינוך-ולדורף-גלעד-גו/,post,22 שאלות ותשובות על חינוך ולדורף | גלעד גולדשמידט,/content-library.html,mapped-section,2018-07-08 · מאמרים
/ah-technology/,post,"Ah, technology ;)",/news.html,mapped-section,2016-02-12 · מודעות ופרסומים
/bal-a-vis-x/,post,סדנת Bal-a-vis-x באפריל 2019,/news.html,mapped-section,2018-12-14 · מודעות ופרסומים
/extra/,post,קורס להוראה תומכת Extra Lesson ייפתח באוקטובר 2018,/news.html,mapped-section,2018-06-06 · מודעות ופרסומים
/giora/,post,לאן נושבת הרוח? סוגיות ביישום אלמנטים מחינוך וולדורף בתלמוד תורה חרדי | גיורא אבידור,/curriculum-capstone.html,mapped-section,2022-04-19 · עבודות גמר
/harduf2018/,post,סמינר חינוך לגילאי התיכון &#8211; הרדוף: נפתחה ההרשמה לשנה&quot;ל תשע&quot;ט,/news.html,mapped-section,2018-06-09 · מודעות ופרסומים
/mng/,post,"תפקיד מנהל בית הספר, ניהול משותף, מנהיגות ואחריות בבית ספר ולדורף | רונן האן",/content-library.html,mapped-section,2020-04-23 · מאמרים
/music/,post,פנקו את הילדים ובכך תתמכו בעשיה וביצירה החדשה של 'מוסיקה אורגנית',/news.html,mapped-section,2017-07-11 · מודעות ופרסומים
/ora2017/,post,השתלמויות בחופשת סוכות בהנחיית אורה פין,/news.html,mapped-section,2017-08-01 · מודעות ופרסומים
/share-israel-ii-2016/,post,כנס הכלכלה השיתופית והמשתפת &#8211; Share Israel II 2016,/news.html,mapped-section,2016-12-05 · מודעות ופרסומים
/shelhalev/,post,שני ספרים חדשים מהוצאת &quot;סיפורי אמת-של-הלב&quot;: אף אחד בשום מקום מישהו איפשהו,/news.html,mapped-section,2017-03-22 · מודעות ופרסומים
/א-ב-של-ולדורף-לקט-מאמרים-להורים￼/,post,א-ב של ולדורף [לקט מאמרים להורים] | אדם עולם,/news.html,mapped-section,2022-03-02 · מודעות ופרסומים
/אגרת-לצוותי-הניהול/,post,אגרת לצוותי הניהול,/news.html,mapped-section,2020-03-15 · הפורום הארצי - הודעות
/אגרת-לקהילת-ולדורף-בעקבות-ההסכם-עם-משר/,post,אגרת לקהילת ולדורף &#8211; בעקבות ההסכם עם משרד החינוך,/news.html,mapped-section,2017-01-16 · מודעות ופרסומים
/אולימפיאדת-השלום-בהשראת-allinpeace/,post,אולימפיאדת ולדורף,/news.html,mapped-section,2024-11-10 · מודעות ופרסומים
/אומנות-איסלמית-בכיתה-ו-דוגמא-והתנסות/,post,אומנות איסלמית בכיתה ו' &#8211; דוגמא והתנסות בתהליך עיצובי בנושא אריחים איסלמים &#8211; יום ג' ה-13.8,/news.html,mapped-section,2019-07-10 · מודעות ופרסומים
/אומנות-בחינוך-ולדורף-שרה-חדד/,post,אומנות בחינוך ולדורף | שרה חדד,/news.html,review,2018-11-26 · uncategorized
/אומנות-הדיבור-מבוא/,post,אמנות הדיבור &#8211; מבוא,/curriculum-drama.html,mapped-section,2015-04-10 · אמנות הדיבור
/אומנות-הושבת-התלמידים-בכיתה/,post,אומנות הושבת התלמידים בכיתה,/content-library.html,mapped-section,2026-08-11 · מאמרים
/אחריות-אישית-ממושג-פילוסופי-לפרקטיקה/,post,אחריות אישית: ממושג פילוסופי לפרקטיקה חינוכית ואזרחית,/content-library.html,mapped-section,2026-04-04 · מאמרים
/אידיאל-המחנך-ל-8-שנים-בחינוך-ולדורף-פוגש/,post,אידיאל המחנך ל-8 שנים בחינוך ולדורף פוגש את המציאות,/content-library.html,mapped-section,2026-03-19 · מאמרים
/איך-אני-נושם-שאיפה-ונשיפה-ככוח-חיים/,post,איך אני נושם? שאיפה ונשיפה ככוח חיים,/news.html,mapped-section,2018-04-15 · מודעות ופרסומים
/איך-לקבל-החלטת-גורל-ירון-זנבל/,post,איך לקבל החלטת גורל | ירון זנבל,/content-library.html,mapped-section,2025-10-02 · מאמרים
/איך-נולדת-תקופה/,post,איך נולדת תקופה?,/content-library.html,mapped-section,2026-07-22 · מאמרים / מודעות ופרסומים
/אמנות-החינוך-ומלאכת-החיים-חשיבותה-ומש/,post,אמנות החינוך ומלאכת החיים: חשיבותה ומשמעותה של האמנות בחינוך ולדורף | נגה הראל,/curriculum-capstone.html,mapped-section,2021-10-18 · עבודות גמר
/אסופת-קישורים-בנושא-החופש-הגדול/,post,אסופת קישורים בנושא החופש הגדול,/news.html,mapped-section,2026-07-20 · מודעות ופרסומים
/אסופת-קישורים-לקראת-החוש-הגדול/,post,אסופת קישורים לקראת החופש הגדול | ירון זנבל,/news.html,mapped-section,2023-06-09 · מודעות ופרסומים
/אספקטים-ומטרות-כלליים/,post,אספקטים ומטרות כלליים בתיכון,/curriculum-eurythmy.html,mapped-section,2015-03-26 · אוריתמיה
/אפיון-וניתוח-התרבות-הארגונית-בבית-ספר/,post,אפיון וניתוח התרבות הארגונית בבית ספר ולדורף | אסף אשל,/curriculum-capstone.html,mapped-section,2021-01-24 · עבודות גמר
/ארץ-יצורי-הפרא-הצגת-כיתה-ו/,post,ארץ יצורי הפרא | הצגת כיתה ו',/news.html,mapped-section,2026-03-02 · מודעות ופרסומים
/בוגרים/,post,רוצה לעבוד בחינוך ועדיין לא מצאת את המקום הנכון? הזמנה לבוגרי חינוך ולדורף,/news.html,mapped-section,2018-03-04 · מודעות ופרסומים
/בוטמר-ועבודת-מקלות/,post,בוטמר ועבודת מקלות,/curriculum-pe.html,mapped-section,2024-11-10 · בוטמר ומשחקים
/ביודינאמית/,post,סופ&quot;ש חקלאות ביודינאמית &#8211; 05-06/1/2018,/news.html,mapped-section,2017-12-12 · מודעות ופרסומים
/בין-המוביל-לבין-המאסף-טמפרמנט-המחנך-כמ/,post,בין המוביל לבין המאסף: טמפרמנט המחנך כמפת דרכים חינוכית,/content-library.html,mapped-section,2026-01-02 · מאמרים
/בינה-מלאכותית-בשירות-חינוך-ולדורף-נתי/,post,בינה מלאכותית בשירות חינוך ולדורף: נתיב לשימוש מושכל,/content-library.html,mapped-section,2025-10-24 · מאמרים
/בית-ספר-עודד-הזמנה-לכנס-עמלנות-בחינו/,post,בית ספר עודד – הזמנה לכנס עמלנות בחינוך – 27 בדצמבר 2016,/news.html,mapped-section,2016-11-20 · מודעות ופרסומים
/בית_אורי_2018/,post,יריד בית אורי בתל אביב &#8211; שישי הקרוב 9.3,/news.html,mapped-section,2018-03-06 · מודעות ופרסומים
/ברוכים-הבאים/,post,ברוכים הבאים,/forum-workgroups.html,mapped-section,2016-01-04 · פורום מנהלים
/בשלות-לכיתה-א-מישל-איבל/,post,בשלות לכיתה א' | מישל איבל,/curriculum-capstone.html,mapped-section,2022-11-16 · עבודות גמר
/גאוגרפיה-בביס-יסודי/,post,גאוגרפיה בבית הספר היסודי,/curriculum-geography.html,mapped-section,2015-03-26 · גאוגרפיה
/גאוגרפיה-בביס-תיכון/,post,גאוגרפיה בבית הספר התיכון,/curriculum-geography.html,mapped-section,2015-03-26 · גאוגרפיה
/גילוי-הקול/,post,כנס האביב של הדרך לגילוי הקול בשבת ה-8.4.17,/news.html,mapped-section,2017-03-22 · מודעות ופרסומים
/גם-שפה-עשירה-וגם-אנטרופוסופית-השתלמות/,post,גם (שפה) עשירה וגם אנטרופוסופית! השתלמות בעבודת שפה בדרך הוולדורף בכיתות ג'-ד'-ה',/news.html,mapped-section,2019-09-15 · מודעות ופרסומים
/גרים/,post,הצגת ילדים: כאן גרים האחים גרים &#8211; מרץ 2018,/news.html,mapped-section,2018-02-18 · מודעות ופרסומים
/דרכו-הפנימית-של-המורה-או-חנוך-לנער-לפי/,post,דרכו הפנימית של המורה או &quot;חנוך לנער לפי דרכו&quot; | אורי עברי,/content-library.html,mapped-section,2018-07-08 · מאמרים
/דרכים-ליישום-החינוך-העמלני/,post, דרכים ליישום החינוך העמלני באמצעות עבודת אדמה | עמיר פרי,/curriculum-capstone.html,mapped-section,2018-11-22 · עבודות גמר
/האידאולוגיה-הרביעית-חינוך-ולדורף-ברא/,post,האידאולוגיה הרביעית? &#8211; חינוך ולדורף בראי שלוש אידאולוגיות העל | מי-טל רחמני,/curriculum-capstone.html,mapped-section,2019-10-02 · עבודות גמר
/האם-וכיצד-נותן-חינוך-וולדרוף-מענה-לילד/,post,האם וכיצד נותן חינוך וולדרוף מענה לילדים אשר חוו טראומה בילדותם? | עידן יהב,/curriculum-capstone.html,mapped-section,2018-07-09 · עבודות גמר
/האם-וכיצד-עקרונות-יסוד-מתוך-הפסיכולוג/,post,האם  וכיצד עקרונות יסוד מתוך הפסיכולוגיה החיובית באים לידי ביטוי בחינוך וולדורף בשביעון השני | יובל קפל,/curriculum-capstone.html,mapped-section,2019-03-16 · עבודות גמר
/האם-תכנית-הלימודים-במדעים-בכיתות-ו-ז-ח/,post,האם תכנית הלימודים במדעים בכיתות ו' ז' ח' בבתי ספר ולדורף הולמת את התפתחות הילד? ואם כן כיצד? | תום נוימן,/curriculum-capstone.html,mapped-section,2019-07-28 · עבודות גמר
/האמן-ומרגריטה/,post,כיתה י&quot;ב תיכון אדם ירושלים מעלה: האמן ומרגריטה &#8211;  1-3.1.2019,/news.html,mapped-section,2018-12-22 · מודעות ופרסומים
/האריה-המכשפה-וארון-הבגדים/,post,"האריה,המכשפה וארון הבגדים &#8211; הצגת סיום של בוגרי מכללת דוד-ילין",/news.html,mapped-section,2018-03-09 · מודעות ופרסומים
/הגן-כסביבה-מרפאה-הזמנה-לכנס-הסתיו-של-מ/,post,&quot;הגן כסביבה מרפאה&quot; &#8211; הזמנה לכנס הסתיו של מעגל הגנים הארצי,/news.html,mapped-section,2016-10-15 · מודעות ופרסומים
/הומור-בחינוך-האנתרופוסופי-שרה-מלכה/,post,הומור בחינוך האנתרופוסופי | שרה מלכה,/curriculum-capstone.html,mapped-section,2020-03-08 · עבודות גמר
/הומור-וחינוך-ולדורף-ליאת-אדלר/,post,הומור וחינוך ולדורף | ליאת אדלר,/curriculum-capstone.html,mapped-section,2019-10-22 · עבודות גמר
/הוראת-המוזיקה-בשנים-הראשונות-בבית-ספר/,post,הוראת המוזיקה בשנים הראשונות בבית ספר ולדורף | מוטי עמיר,/curriculum-capstone.html,mapped-section,2018-08-27 · עבודות גמר
/הורות-בראי-האמפתיה/,post,הורות בראי האמפתיה &#8211; סדנה בהנחיית יהודה תגר 15.12.2018,/news.html,mapped-section,2018-11-11 · מודעות ופרסומים
/הזמנה-להופעת-אוריתמיה-הסערה/,post,הזמנה להופעת אוריתמיה &#8211; &quot;הסערה&quot;,/news.html,mapped-section,2017-05-14 · מודעות ופרסומים
/הזמנה-למפגש-פורום-ארצי-25-2-19/,post,הזמנה למפגש פורום ארצי 25.2.19 &#8211; שאלת האדם בתרבות  הדיגיטלית,/events.html,mapped-section,2019-01-28 · מפגש פורום ארצי: שאלת האדם בתרבות הדיגיטלית
/הזמנה-לתרפיסטים-יו/,post,הזמנה לתרפיסטים ותרפיסטיות,/events.html,mapped-section,2019-01-28 · מפגש פורום ארצי: שאלת האדם בתרבות הדיגיטלית
/היסטוריה-מהגן-ועד-כיתה-ה/,post,היסטוריה: מהגן ועד כיתה ה',/curriculum-history.html,mapped-section,2015-03-26 · היסטוריה
/היסטוריה-מכיתה-ה-ועד-כיתה-ח/,post,היסטוריה מכיתה ה' ועד כיתה ח',/curriculum-history.html,mapped-section,2015-03-26 · היסטוריה
/הכוכבים-במסילותיהם-השתלמות-באסטרונו-2/,post,הכוכבים במסילותיהם &#8211; השתלמות באסטרונומיה לכיתה ו' ו ז' &#8211; 3 במאי 2018,/news.html,mapped-section,2018-04-13 · מודעות ופרסומים
/הכוכבים-במסילותיהם-השתלמות-באסטרונו/,post,הכוכבים במסילותיהם &#8211; השתלמות באסטרונומיה🌠 22.3.2018,/news.html,mapped-section,2018-02-08 · מודעות ופרסומים
/הכוכבים_במסילותיהם/,post,"מלמדים בכיתות א-ו, ותקופת אסטרונומיה רחוקה מכם שנות אור? ",/news.html,mapped-section,2018-03-18 · מודעות ופרסומים
/הכיתה-כמרחב-להתחנכות-אורי-עברי/,post,הכיתה כמרחב להתחנכות | אורי עברי,/content-library.html,mapped-section,2020-03-15 · מאמרים
/הכשרה-למורים-לתיכון-ברוח-חינוך-ולדורף/,post,הכשרה למורים לתיכון ברוח חינוך ולדורף,/news.html,mapped-section,2016-04-28 · מודעות ופרסומים
/הכשרות-מקצועיות-במרכז-אורים/,post,הכשרות מקצועיות במרכז אורים ,/news.html,mapped-section,2018-09-18 · מודעות ופרסומים
/הכשרת-אוריתמיה-בבית-ספר-הוורד-בהרדוף/,post,הכשרת אוריתמיה בבית ספר הוורד בהרדוף,/news.html,mapped-section,2020-06-03 · מודעות ופרסומים
/הכשרת-הוראה-תומכת-extra-lesson/,post,הכשרת הוראה תומכת Extra Lesson,/news.html,mapped-section,2016-02-14 · מודעות ופרסומים
/הכשרת-מורי-אנגלית/,post,קורס הכשרה להוראת אנגלית בדרך הוולדורף | אורה פין,/news.html,mapped-section,2018-08-08 · מודעות ופרסומים
/הכשרת-מלווים-לבתי-ספר-וולדורף/,post,הכשרת מלווים לבתי ספר וולדורף,/news.html,mapped-section,2018-07-07 · מודעות ופרסומים
/המהפכה-של-גיל-הנעורים-והמענה-של-חינוך-ו/,post,המהפכה של גיל הנעורים והמענה של חינוך ולדורף,/content-library.html,mapped-section,2026-01-19 · מאמרים
